4;m500;10;2;1485864406671_0041;23;8;126;31;67;61;258;3;55;24;C,multiplied_matrices;GROUP_BY,COMBINER;;
5;m500;1;1;1485939535932_0022;2;10;12;4;8;8;90;12;42;26;A,B,matrix1,matrix2;HASH_JOIN;2017-02-01T20:21:59;519,88
5;m500;1;2;1485939535932_0023;23;10;146;21;76;61;196;3;67;39;C,multiplied_matrices;GROUP_BY,COMBINER;;
5;m500;2;1;1485939535932_0024;2;10;22;3;12;12;108;11;54;56;A,B,matrix1,matrix2;HASH_JOIN;2017-02-01T20:30:44;501,55
5;m500;2;2;1485939535932_0025;23;10;151;24;74;61;215;4;60;19;C,multiplied_matrices;GROUP_BY,COMBINER;;
5;m500;3;1;1485939535932_0026;2;10;12;11;11;11;105;11;51;50;A,B,matrix1,matrix2;HASH_JOIN;2017-02-01T20:39:10;501,99
5;m500;3;2;1485939535932_0027;23;10;151;25;75;58;212;3;62;24;C,multiplied_matrices;GROUP_BY,COMBINER;;
5;m500;4;1;1485939535932_0028;2;10;11;11;11;11;90;11;51;54;A,B,matrix1,matrix2;HASH_JOIN;2017-02-01T20:47:36;490,8
5;m500;4;2;1485939535932_0029;22;10;150;28;78;57;216;3;60;18;C,multiplied_matrices;GROUP_BY,COMBINER;;
5;m500;5;1;1485939535932_0030;2;10;19;4;11;11;84;12;43;41;A,B,matrix1,matrix2;HASH_JOIN;2017-02-01T20:55:51;452,33
5;m500;5;2;1485939535932_0031;23;10;129;27;70;62;174;3;44;20;C,multiplied_matrices;GROUP_BY,COMBINER;;
5;m500;6;1;1485939535932_0032;2;10;12;3;8;8;87;12;42;27;A,B,matrix1,matrix2;HASH_JOIN;2017-02-01T21:03:28;445,07
5;m500;6;2;1485939535932_0033;23;10;144;21;76;69;151;3;47;23;C,multiplied_matrices;GROUP_BY,COMBINER;;
5;m500;7;1;1485939535932_0034;2;10;16;3;10;10;102;13;44;39;A,B,matrix1,matrix2;HASH_JOIN;2017-02-01T21:10:57;505,96
5;m500;7;2;1485939535932_0035;22;10;132;29;77;66;225;4;67;33;C,multiplied_matrices;GROUP_BY,COMBINER;;
5;m500;8;1;1485939535932_0036;2;10;12;11;11;11;95;11;49;52;A,B,matrix1,matrix2;HASH_JOIN;2017-02-01T21:19:27;501,78
