Nodes;Dim;Mean_time;Median_time;Std_dev_time
3;500;695,049;706,8;46,15269471
4;500;553,307;560,505;35,3511058
5;500;483,245;496,175;28,23007731
6;500;437,16;433,225;16,4485738
7;500;613,768;642,815;82,14589506
8;500;606,393;605;79,66237594
3;1000;5966,481;6412,525;861,084513
4;1000;4646,092;4747,345;471,3684371
5;1000;4079,204;4058,15;413,6514661
6;1000;3305,251;3341,27;90,08130888
7;1000;4222,203;4081,945;589,8362948
8;1000;3919,583;3927,845;304,7243674
