1485784300641_0042,ma,1069
1485784300641_0042,w1,1053
1485784300641_0042,w2,1062
1485784300641_0043,ma,5659
1485784300641_0043,w1,5661
1485784300641_0043,w2,5674
1485784300641_0044,ma,1167
1485784300641_0044,w1,1151
1485784300641_0044,w2,1160
1485784300641_0044,w3,0
1485784300641_0044,w4,0
1485784300641_0044,w5,0
1485784300641_0044,w6,0
1485784300641_0044,w7,0
1485784300641_0045,ma,3637
1485784300641_0045,w1,3653
1485784300641_0045,w2,3637
1485784300641_0045,w3,0
1485784300641_0045,w4,0
1485784300641_0045,w5,0
1485784300641_0045,w6,0
1485784300641_0045,w7,0
1485784300641_0046,ma,744
1485784300641_0046,w1,760
1485784300641_0046,w2,744
1485784300641_0046,w3,0
1485784300641_0046,w4,0
1485784300641_0046,w5,0
1485784300641_0046,w6,0
1485784300641_0046,w7,0
1485784300641_0047,ma,5501
1485784300641_0047,w1,5498
1485784300641_0047,w2,5513
1485784300641_0047,w3,0
1485784300641_0047,w4,0
1485784300641_0047,w5,0
1485784300641_0047,w6,0
1485784300641_0047,w7,0
1485784300641_0048,ma,829
1485784300641_0048,w1,845
1485784300641_0048,w2,823
1485784300641_0048,w3,0
1485784300641_0048,w4,0
1485784300641_0048,w5,0
1485784300641_0048,w6,0
1485784300641_0048,w7,0
1485784300641_0049,ma,3659
1485784300641_0049,w1,3672
1485784300641_0049,w2,3661
1485784300641_0049,w3,0
1485784300641_0049,w4,0
1485784300641_0049,w5,0
1485784300641_0049,w6,0
1485784300641_0049,w7,0
1485784300641_0050,ma,982
1485784300641_0050,w1,975
1485784300641_0050,w2,965
1485784300641_0050,w3,0
1485784300641_0050,w4,0
1485784300641_0050,w5,0
1485784300641_0050,w6,0
1485784300641_0050,w7,0
1485784300641_0051,ma,3635
1485784300641_0051,w1,3650
1485784300641_0051,w2,3635
1485784300641_0051,w3,0
1485784300641_0051,w4,0
1485784300641_0051,w5,0
1485784300641_0051,w6,0
1485784300641_0051,w7,0
1485784300641_0052,ma,711
1485784300641_0052,w1,704
1485784300641_0052,w2,726
1485784300641_0052,w3,0
1485784300641_0052,w4,0
1485784300641_0052,w5,0
1485784300641_0052,w6,0
1485784300641_0052,w7,0
1485784300641_0053,ma,5877
1485784300641_0053,w1,5863
1485784300641_0053,w2,5864
1485784300641_0053,w3,0
1485784300641_0053,w4,0
1485784300641_0053,w5,0
1485784300641_0053,w6,0
1485784300641_0053,w7,0
1485784300641_0054,ma,745
1485784300641_0054,w1,762
1485784300641_0054,w2,748
1485784300641_0054,w3,0
1485784300641_0054,w4,0
1485784300641_0054,w5,0
1485784300641_0054,w6,0
1485784300641_0054,w7,0
1485784300641_0055,ma,5676
